Acceleration,Battery,Brand,Drive,Efficiency,Fastcharge,Market_Segment,Model,Price_GE,Price_Nl,Price_UK,Range,Seat,Topspeed,Tow_Capacity
7.9 sec,64,Hyundai,Front Wheel Drive,162 Wh/km,370 km/h,B,Kona Electric 64 kWh,"€42,900","€46,795","£35,750",395 km,5,167 km/h,100
3.9 sec,80.7,BMW,All Wheel Drive,186 Wh/km,670 km/h,D,i4 M50,"€70,800","€76,443","£65,795",435 km,5,225 km/h,1600
3.8 sec,105.2,BMW,All Wheel Drive,217 Wh/km,650 km/h,E,iX M60,"€136,100","€136,655","£116,905",485 km,5,250 km/h,2500
19.1 sec,25,Dacia,Front Wheel Drive,161 Wh/km,170 km/h,A,Spring Electric,"€22,550","€20,850",N/A,155 km,4,125 km/h,
3.2 sec,95,Tesla,All Wheel Drive,167 Wh/km,790 km/h,F,Model S Dual Motor,"* €105,000","* €105,000","* £90,000",570 km,5,250 km/h,1600
7.6 sec,87,Nissan,Front Wheel Drive,196 Wh/km,530 km/h,C,Ariya 87kWh,"€63,490","€57,990","£52,090",445 km,5,160 km/h,750
4.3 sec,107.8,Mercedes,All Wheel Drive,178 Wh/km,900 km/h,F,EQS 580 4MATIC,"€141,705","€176,608",N/A,605 km,5,210 km/h,750
7.4 sec,55,Renault,Front Wheel Drive,167 Wh/km,490 km/h,C,Megane E-Tech EV60 220hp,"€46,600","€42,190","£35,995",330 km,5,160 km/h,900
6.8 sec,74,BMW,Rear Wheel Drive,192 Wh/km,520 km/h,D,iX3 ,"€67,300","€71,488","£62,865",385 km,5,180 km/h,750
10.2 sec,77,Volkswagen,Rear Wheel Drive,233 Wh/km,460 km/h,N,ID. Buzz Pro,"€64,581","€69,990","£57,115",330 km,5,145 km/h,1000
8.4 sec,68.3,MG,Front Wheel Drive,187 Wh/km,410 km/h,B,ZS EV Long Range,"€37,990","€37,585","£31,995",365 km,5,175 km/h,500
7.5 sec,71.4,Toyota,Front Wheel Drive,190 Wh/km,490 km/h,D,bZ4X FWD,"€47,490","€52,995","£43,780",375 km,5,160 km/h,750
7.3 sec,74,Kia,Rear Wheel Drive,180 Wh/km,1070 km/h,C,EV6 Long Range 2WD,"€50,990","€57,495","£45,245",410 km,5,185 km/h,1600
7.7 sec,50.8,MG,Rear Wheel Drive,169 Wh/km,340 km/h,C,MG4 Electric 51 kWh,"€31,990","€30,785","£25,995",300 km,5,160 km/h,500
6.2 sec,66.5,Mercedes,All Wheel Drive,199 Wh/km,480 km/h,C,EQB 350 4MATIC,"€58,197","€68,266","£55,310",335 km,7,160 km/h,
6.7 sec,64,Smart,Rear Wheel Drive,183 Wh/km,520 km/h,B,#1 ,"€41,490","€41,395","* £35,000",350 km,5,180 km/h,1600
5.1 sec,80,Mercedes,All Wheel Drive,216 Wh/km,440 km/h,D,EQC 400 4MATIC,"€66,069","€73,216","£70,035",370 km,5,180 km/h,1800
7.4 sec,75,Polestar,Front Wheel Drive,179 Wh/km,560 km/h,D,2 Long Range Single Motor,"€50,995","€52,200","£46,450",420 km,5,160 km/h,1500
11.4 sec,52,Renault,Front Wheel Drive,165 Wh/km,230 km/h,B,Zoe ZE50 R110,"€36,840","€34,790",N/A,315 km,5,135 km/h,
3.3 sec,85,Audi,All Wheel Drive,210 Wh/km,1000 km/h,F,e-tron GT RS,"€146,050","€151,475","£115,000",405 km,4,250 km/h,
9.0 sec,37.3,Fiat,Front Wheel Drive,159 Wh/km,390 km/h,B,500e Hatchback 42 kWh,"€34,990","€34,790","£29,435",235 km,4,150 km/h,
8.5 sec,76.6,Audi,Rear Wheel Drive,189 Wh/km,510 km/h,C,Q4 e-tron 40,"€51,900","€59,175","£48,930",405 km,5,160 km/h,1000
8.5 sec,50.8,Opel,Front Wheel Drive,164 Wh/km,500 km/h,C,Astra Electric,"* €40,000","* €40,000","* £36,000",310 km,5,170 km/h,
8.5 sec,77,Volkswagen,Rear Wheel Drive,188 Wh/km,520 km/h,C,ID.4 Pro Performance,"€46,335","€49,790","£44,480",410 km,5,160 km/h,1000
4.7 sec,75,Polestar,All Wheel Drive,192 Wh/km,520 km/h,D,2 Long Range Dual Motor,"€54,995","€56,200","£49,550",390 km,5,205 km/h,1500
3.9 sec,100,Fisker,All Wheel Drive,196 Wh/km,730 km/h,D,Ocean One,"€69,950",N/A,"£59,900",510 km,5,200 km/h,1815
7.9 sec,39,Nissan,Front Wheel Drive,166 Wh/km,230 km/h,C,Leaf ,"€33,400","€35,090","£28,995",235 km,5,144 km/h,
2.9 sec,118,Lucid,All Wheel Drive,170 Wh/km,880 km/h,F,Air Dream Edition R,"€218,000","€222,000",N/A,695 km,5,270 km/h,
7.4 sec,74,Hyundai,Rear Wheel Drive,156 Wh/km,1240 km/h,D,IONIQ 6 Long Range 2WD,"€54,000","* €55,000","£46,745",475 km,5,185 km/h,1500
9.6 sec,58,Volkswagen,Rear Wheel Drive,166 Wh/km,470 km/h,C,ID.3 Pro,N/A,"€38,390",N/A,350 km,5,160 km/h,
8.0 sec,54,Hyundai,Rear Wheel Drive,150 Wh/km,880 km/h,D,IONIQ 6 Standard Range 2WD,"€43,900","* €45,000",N/A,360 km,5,185 km/h,
5.6 sec,71.4,Lexus,All Wheel Drive,204 Wh/km,450 km/h,D,RZ 450e,"* €60,000","€64,595","£62,545",350 km,5,160 km/h,750
7.3 sec,74,Hyundai,Rear Wheel Drive,190 Wh/km,1020 km/h,C,IONIQ 5 Long Range 2WD,"€47,900","€50,395","£45,400",390 km,5,185 km/h,1600
8.3 sec,57,MG,Front Wheel Drive,175 Wh/km,320 km/h,C,MG5 Electric Long Range,"€38,490","€37,585","£30,995",325 km,5,185 km/h,500
6.2 sec,77,Volkswagen,All Wheel Drive,193 Wh/km,560 km/h,C,ID.4 GTX,"€53,255","€57,290","£51,580",400 km,5,180 km/h,1200
10.4 sec,77,Volkswagen,Rear Wheel Drive,188 Wh/km,520 km/h,C,ID.4 Pro,N/A,"€48,190","£43,050",410 km,5,160 km/h,1000
6.9 sec,71.4,Subaru,All Wheel Drive,201 Wh/km,460 km/h,D,Solterra AWD,"€57,490","€56,395","£49,995",355 km,5,160 km/h,750
7.3 sec,58,CUPRA,Rear Wheel Drive,166 Wh/km,470 km/h,C,Born 150 kW - 58 kWh,"€39,370","€40,990","£34,715",350 km,5,160 km/h,
5.6 sec,106,Audi,All Wheel Drive,202 Wh/km,710 km/h,E,Q8 e-tron Sportback 55 quattro,"€87,550","* €88,000","£80,300",525 km,5,200 km/h,1800
3.9 sec,83,BYD,All Wheel Drive,178 Wh/km,450 km/h,E,HAN ,"€70,805","* €75,000",N/A,465 km,5,180 km/h,
4.8 sec,84.7,Jaguar,All Wheel Drive,223 Wh/km,360 km/h,E,I-Pace EV400,"€76,815","€83,077","£66,350",380 km,5,200 km/h,750
8.1 sec,45,Peugeot,Front Wheel Drive,158 Wh/km,460 km/h,B,e-208 ,"€35,350","€32,250","£30,195",285 km,5,150 km/h,
2.8 sec,83.7,Porsche,All Wheel Drive,209 Wh/km,980 km/h,F,Taycan Turbo S,"€189,668","€196,900","£142,400",400 km,4,260 km/h,
6.0 sec,67,BMW,Rear Wheel Drive,168 Wh/km,540 km/h,D,i4 eDrive35,"€56,500","€58,046",N/A,400 km,5,190 km/h,1600
8.7 sec,58,Skoda,Rear Wheel Drive,176 Wh/km,440 km/h,C,Enyaq iV 60,"€42,100","€48,690","£38,970",330 km,5,160 km/h,1000
4.9 sec,107,Volvo,All Wheel Drive,243 Wh/km,570 km/h,E,EX90 Twin Motor Performance,"€110,650","€107,495","£100,555",440 km,7,180 km/h,2200
4.9 sec,75,Volvo,All Wheel Drive,221 Wh/km,460 km/h,C,XC40 Recharge Twin Pure Electric,"€56,150","€57,495","£57,000",340 km,5,180 km/h,1800
5.2 sec,74,Kia,All Wheel Drive,185 Wh/km,1050 km/h,C,EV6 Long Range AWD,"€54,980","€59,995","£51,745",400 km,5,185 km/h,1600
8.5 sec,50.8,Opel,Front Wheel Drive,169 Wh/km,480 km/h,C,Astra Sports Tourer Electric,"* €42,000","* €42,000","* £37,000",300 km,5,170 km/h,
4.6 sec,108.4,Mercedes,All Wheel Drive,224 Wh/km,630 km/h,F,EQS SUV 580 4MATIC,"€135,434","€167,291","£139,170",485 km,7,210 km/h,1800
5.1 sec,74,Hyundai,All Wheel Drive,192 Wh/km,1010 km/h,C,IONIQ 5 Long Range AWD,"€59,200","€58,495","£48,900",385 km,5,185 km/h,1600
4.7 sec,75,Volvo,All Wheel Drive,214 Wh/km,470 km/h,C,C40 Recharge Twin Pure Electric,"€57,650","€58,995","£58,350",350 km,5,180 km/h,1800
4.9 sec,90,Hongqi,All Wheel Drive,254 Wh/km,410 km/h,E,E-HS9 99 kWh,N/A,"€94,590",N/A,355 km,5,200 km/h,1500
7.3 sec,28.9,Mini,Front Wheel Drive,161 Wh/km,260 km/h,B,Cooper SE ,"€35,700","€38,390","£31,000",180 km,4,150 km/h,
3.3 sec,75,Tesla,All Wheel Drive,163 Wh/km,710 km/h,D,Model 3 Performance,"€66,465","€66,995","£61,490",460 km,5,261 km/h,
8.5 sec,54,Hyundai,Rear Wheel Drive,183 Wh/km,720 km/h,C,IONIQ 5 Standard Range 2WD,"€43,900","€46,795","£41,900",295 km,5,185 km/h,750
4.6 sec,84,BYD,All Wheel Drive,240 Wh/km,330 km/h,E,TANG ,"€71,400","€73,300",N/A,350 km,7,180 km/h,1500
4.5 sec,106,Audi,All Wheel Drive,238 Wh/km,600 km/h,E,SQ8 e-tron ,"* €110,000","* €110,000","£98,295",445 km,5,210 km/h,
2.6 sec,95,Tesla,All Wheel Drive,211 Wh/km,630 km/h,F,Model X Plaid,"€141,970","€144,995","* £125,000",450 km,6,262 km/h,2250
8.0 sec,66.5,Mercedes,All Wheel Drive,199 Wh/km,480 km/h,C,EQB 300 4MATIC,"€55,519","€65,483","£56,810",335 km,7,160 km/h,
4.9 sec,65,MG,All Wheel Drive,197 Wh/km,390 km/h,C,Marvel R Performance,"€50,990","€51,485",N/A,330 km,5,200 km/h,750
10.4 sec,77,Volkswagen,Rear Wheel Drive,179 Wh/km,540 km/h,C,ID.5 Pro,"€47,935","€50,890","£49,735",430 km,5,160 km/h,1000
7.0 sec,77,CUPRA,Rear Wheel Drive,171 Wh/km,570 km/h,C,Born 170 kW - 77 kWh,"€46,450","€49,990","£40,215",450 km,4,160 km/h,
8.9 sec,52,Seres,Front Wheel Drive,193 Wh/km,240 km/h,C,3 ,N/A,"€37,995",N/A,270 km,5,155 km/h,
7.6 sec,89,Mercedes,Rear Wheel Drive,173 Wh/km,650 km/h,E,EQE 300,"€66,402","€71,138","£74,345",515 km,5,210 km/h,750
7.0 sec,90.6,Mercedes,Rear Wheel Drive,193 Wh/km,700 km/h,E,EQE SUV 350+,"* €85,000","* €85,000","* £80,000",470 km,5,210 km/h,750
9.5 sec,52,Renault,Front Wheel Drive,168 Wh/km,230 km/h,B,Zoe ZE50 R135,"€37,840","€36,090","£31,995",310 km,5,140 km/h,
12.1 sec,90,Mercedes,Front Wheel Drive,295 Wh/km,310 km/h,N,EQV 300 Long,"€71,626","€80,853","£78,850",305 km,7,160 km/h,
6.9 sec,71.4,Toyota,All Wheel Drive,193 Wh/km,480 km/h,D,bZ4X AWD,"€57,390","€63,995","£50,180",370 km,5,160 km/h,750
7.4 sec,67,Volvo,Front Wheel Drive,203 Wh/km,530 km/h,C,C40 Recharge Pure Electric,"€48,850","€48,495","£47,100",330 km,5,160 km/h,1500
9.7 sec,45,Citroen,Front Wheel Drive,170 Wh/km,420 km/h,C,e-C4 ,"€36,040","€40,240","£29,995",265 km,5,150 km/h,
9.0 sec,51,Peugeot,Front Wheel Drive,165 Wh/km,460 km/h,C,e-308 ,"* €44,000","* €44,000","* £37,000",310 km,5,150 km/h,
12.6 sec,21.3,Renault,Rear Wheel Drive,164 Wh/km,-,A,Twingo Electric,"€28,000","€23,020",N/A,130 km,4,135 km/h,
4.5 sec,100,Rolls-Royce,All Wheel Drive,220 Wh/km,540 km/h,F,Spectre ,"* €400,000","* €400,000","* £350,000",455 km,4,250 km/h,
8.4 sec,77,Volkswagen,Rear Wheel Drive,179 Wh/km,540 km/h,C,ID.5 Pro Performance,"€48,970","€52,490","£51,210",430 km,5,160 km/h,1000
9.7 sec,30,Mazda,Front Wheel Drive,176 Wh/km,210 km/h,C,MX-30 ,"€35,990","€34,990","£30,050",170 km,5,140 km/h,
6.9 sec,59,Nissan,Front Wheel Drive,174 Wh/km,240 km/h,C,Leaf e+,"€41,100","€41,890","£34,945",340 km,5,157 km/h,
3.8 sec,70.5,NIO,All Wheel Drive,176 Wh/km,540 km/h,F,ET7 75 kWh,"€82,850","€84,900",N/A,400 km,5,200 km/h,2000
9.0 sec,47,Sono,Front Wheel Drive,181 Wh/km,310 km/h,C,Sion ,"€29,899","* €30,400",N/A,260 km,5,140 km/h,750
8.5 sec,45,Peugeot,Front Wheel Drive,176 Wh/km,410 km/h,B,e-2008 SUV ,"€37,900","€37,530","£33,700",255 km,5,150 km/h,
6.5 sec,77,Skoda,All Wheel Drive,190 Wh/km,560 km/h,C,Enyaq Coupe iV RS,"€61,960","€65,890","£54,370",405 km,5,180 km/h,1200
9.0 sec,52,Audi,Rear Wheel Drive,182 Wh/km,360 km/h,C,Q4 e-tron 35,N/A,"€51,865","£44,690",285 km,5,160 km/h,0
9.0 sec,50.8,Jeep,Front Wheel Drive,172 Wh/km,470 km/h,B,Avenger 1st Edition,"€39,900","* €40,000","* £35,000",295 km,5,150 km/h,
4.5 sec,107,Lotus,All Wheel Drive,206 Wh/km,1090 km/h,E,Eletre ,"€95,990","€98,690","£89,500",520 km,5,250 km/h,
9.9 sec,39.2,Hyundai,Front Wheel Drive,157 Wh/km,220 km/h,B,Kona Electric 39 kWh,"€36,400",N/A,"£30,450",250 km,5,155 km/h,
5.0 sec,107,Polestar,All Wheel Drive,218 Wh/km,640 km/h,E,3 Long Range Dual motor,"€88,600","€89,900","£79,900",490 km,5,210 km/h,2200
6.9 sec,77,Skoda,All Wheel Drive,193 Wh/km,500 km/h,C,Enyaq iV 80x,"€49,050",N/A,"£51,765",400 km,5,160 km/h,1200
7.9 sec,77,Volkswagen,Rear Wheel Drive,171 Wh/km,570 km/h,C,ID.3 Pro S - 5 Seats,N/A,"€44,490",N/A,450 km,5,160 km/h,
8.1 sec,45,Opel,Front Wheel Drive,158 Wh/km,460 km/h,B,Corsa-e ,"€33,895","€33,999","£28,555",285 km,5,150 km/h,
8.9 sec,66.5,Mercedes,Front Wheel Drive,193 Wh/km,500 km/h,C,EQB 250,"€52,550","€59,917",N/A,345 km,7,160 km/h,
4.1 sec,85,Audi,All Wheel Drive,202 Wh/km,1030 km/h,F,e-tron GT quattro,"€106,050","€108,605","£84,000",420 km,4,245 km/h,
3.9 sec,64,Smart,All Wheel Drive,191 Wh/km,500 km/h,B,#1 Brabus,"€48,990","€48,895","* £42,000",335 km,5,180 km/h,1600
7.5 sec,45,Lexus,Front Wheel Drive,191 Wh/km,150 km/h,C,UX 300e,"€47,550","€51,995",N/A,235 km,5,160 km/h,
6.7 sec,108.4,Mercedes,Rear Wheel Drive,219 Wh/km,650 km/h,F,EQS SUV 450+,"€110,801","€120,827",N/A,495 km,7,210 km/h,750
6.2 sec,76.6,Audi,All Wheel Drive,199 Wh/km,490 km/h,C,Q4 e-tron 50 quattro,"€57,900","€70,775","£55,310",385 km,5,180 km/h,1200
6.3 sec,77,Volkswagen,All Wheel Drive,190 Wh/km,560 km/h,C,ID.5 GTX,"€56,455","€59,390","£55,570",405 km,5,180 km/h,1200
4.2 sec,100,Fisker,All Wheel Drive,198 Wh/km,730 km/h,D,Ocean Ultra,"€57,000",N/A,"£48,900",505 km,5,200 km/h,1815
9.2 sec,45,Opel,Front Wheel Drive,176 Wh/km,410 km/h,B,Mokka-e ,"€37,650","€38,499","£31,935",255 km,5,150 km/h,
7.4 sec,75,Fisker,Front Wheel Drive,197 Wh/km,480 km/h,D,Ocean Sport,"€41,560",N/A,"£34,990",380 km,5,160 km/h,1090
7.5 sec,60,XPENG,Front Wheel Drive,156 Wh/km,360 km/h,D,P5 ,N/A,"* €48,000",N/A,385 km,5,150 km/h,
10.9 sec,52,Volkswagen,Rear Wheel Drive,182 Wh/km,360 km/h,C,ID.4 Pure,N/A,N/A,"£37,290",285 km,5,160 km/h,1000
8.6 sec,49,MG,Front Wheel Drive,181 Wh/km,260 km/h,B,ZS EV Standard Range,"€33,990","€33,585","£29,495",270 km,5,175 km/h,500
7.3 sec,58,Volkswagen,Rear Wheel Drive,166 Wh/km,470 km/h,C,ID.3 Pro Performance,"€43,995","€39,990","£36,990",350 km,5,160 km/h,
9.0 sec,50.8,DS,Front Wheel Drive,169 Wh/km,480 km/h,B,3 E-Tense,"€40,540","€41,640",N/A,300 km,5,150 km/h,
3.4 sec,107.8,Mercedes,All Wheel Drive,191 Wh/km,840 km/h,F,EQS AMG 53 4MATIC+,"€155,009","€173,341","£157,160",565 km,5,250 km/h,750
7.9 sec,65,MG,Rear Wheel Drive,194 Wh/km,400 km/h,C,Marvel R ,"€46,990","€47,485",N/A,335 km,5,200 km/h,750
5.4 sec,71,Porsche,Rear Wheel Drive,173 Wh/km,1010 km/h,F,Taycan ,"€88,399","€93,500","£75,500",410 km,4,230 km/h,
3.9 sec,95,Tesla,All Wheel Drive,202 Wh/km,650 km/h,F,Model X Dual Motor,"* €110,000","* €110,000","* £95,000",470 km,6,250 km/h,2300
4.0 sec,90,NIO,All Wheel Drive,182 Wh/km,520 km/h,D,ET5 100 kWh,"€71,850","€72,900",N/A,495 km,5,200 km/h,1400
4.2 sec,88,Lucid,Rear Wheel Drive,157 Wh/km,980 km/h,F,Air Pure,"* €100,000","* €100,000",N/A,560 km,5,200 km/h,
8.3 sec,28.5,Honda,Rear Wheel Drive,168 Wh/km,180 km/h,B,e Advance,"€39,900","€40,615","£36,920",170 km,4,145 km/h,
3.2 sec,112,Lucid,All Wheel Drive,168 Wh/km,840 km/h,F,Air Grand Touring,"* €175,000","* €175,000",N/A,665 km,5,270 km/h,
8.6 sec,66.5,Mercedes,Front Wheel Drive,187 Wh/km,510 km/h,C,EQA 250,"€50,777","€57,618",N/A,355 km,5,160 km/h,750
7.0 sec,91,Ford,Rear Wheel Drive,200 Wh/km,400 km/h,D,Mustang Mach-E ER RWD,"€71,200","€66,445","£59,380",455 km,5,180 km/h,1500
10.0 sec,40,Renault,Front Wheel Drive,160 Wh/km,360 km/h,C,Megane E-Tech EV40 130hp,"€42,000","€37,590",N/A,250 km,5,150 km/h,500
11.6 sec,16.7,Smart,Rear Wheel Drive,167 Wh/km,-,A,EQ fortwo coupe,"€21,940","€24,885","£22,225",100 km,2,130 km/h,
7.5 sec,63,Nissan,Front Wheel Drive,197 Wh/km,430 km/h,C,Ariya 63kWh,"€47,490","€50,990","£42,845",320 km,5,160 km/h,750
7.5 sec,60,Aiways,Front Wheel Drive,190 Wh/km,380 km/h,C,U5 ,"€39,563","€40,950",N/A,315 km,5,150 km/h,
10.5 sec,55,Renault,Front Wheel Drive,164 Wh/km,500 km/h,C,Megane E-Tech EV60 130hp,"€47,000","€43,190",N/A,335 km,5,150 km/h,500
5.6 sec,107.8,Mercedes,All Wheel Drive,175 Wh/km,920 km/h,F,EQS 450 4MATIC,"€113,359","€129,902",N/A,615 km,5,210 km/h,750
5.9 sec,107,Volvo,All Wheel Drive,235 Wh/km,590 km/h,E,EX90 Twin Motor,"€105,550","€102,495","£96,255",455 km,7,180 km/h,2200
2.7 sec,118,Lucid,All Wheel Drive,180 Wh/km,830 km/h,F,Air Dream Edition P,"€218,000","€222,000",N/A,655 km,5,270 km/h,
6.3 sec,90.6,Mercedes,All Wheel Drive,181 Wh/km,750 km/h,E,EQE 350 4MATIC,"€73,363","€86,263",N/A,500 km,5,210 km/h,750
4.0 sec,71,Porsche,All Wheel Drive,180 Wh/km,970 km/h,F,Taycan 4S,"€108,867","€114,200","£86,500",395 km,4,250 km/h,
9.7 sec,45,Citroen,Front Wheel Drive,170 Wh/km,420 km/h,C,e-C4 X ,"€37,540","€40,840",N/A,265 km,5,150 km/h,
8.7 sec,77,Skoda,Rear Wheel Drive,173 Wh/km,560 km/h,C,Enyaq Coupe iV 80,"* €47,000","€56,890","* £45,000",445 km,5,160 km/h,1000
3.8 sec,90,NIO,All Wheel Drive,178 Wh/km,530 km/h,F,ET7 100 kWh,"€91,850","€93,900",N/A,505 km,5,200 km/h,2000
5.0 sec,90.6,Mercedes,All Wheel Drive,199 Wh/km,680 km/h,E,EQE SUV 500 4MATIC,"* €115,000","* €115,000","* £115,000",455 km,5,210 km/h,1800
6.0 sec,89,Audi,All Wheel Drive,214 Wh/km,580 km/h,E,Q8 e-tron 50 quattro,"€74,400","* €75,000","£67,800",415 km,5,200 km/h,1800
3.9 sec,100,Fisker,All Wheel Drive,196 Wh/km,730 km/h,D,Ocean Extreme,"€69,950",N/A,"£59,900",510 km,5,200 km/h,1815
8.3 sec,47.8,ORA,Front Wheel Drive,174 Wh/km,240 km/h,C,Funky Cat First Edition,N/A,N/A,"£31,995",275 km,5,160 km/h,
7.0 sec,37.3,Abarth,Front Wheel Drive,166 Wh/km,370 km/h,B,500e Scorpionissima,"* €42,000","* €42,000","* £36,000",225 km,4,155 km/h,
4.2 sec,74,Genesis,All Wheel Drive,211 Wh/km,860 km/h,D,GV70 Electrified Sport,"€67,300",N/A,"£64,405",350 km,5,235 km/h,1800
4.2 sec,90.6,Mercedes,All Wheel Drive,187 Wh/km,720 km/h,E,EQE AMG 43 4MATIC,"€103,827","€111,068",N/A,485 km,5,210 km/h,750
9.0 sec,51,Peugeot,Front Wheel Drive,170 Wh/km,450 km/h,C,e-308 SW ,"* €45,000","* €45,000","* £38,000",300 km,5,150 km/h,
8.5 sec,54,Kia,Rear Wheel Drive,177 Wh/km,750 km/h,C,EV6 Standard Range 2WD,"€46,990","€48,995",N/A,305 km,5,185 km/h,750
