Acceleration,Battery,Brand,Drive,Efficiency,Fastcharge,Market_Segment,Model,Price_GE,Price_Nl,Price_UK,Range,Seat,Topspeed,Tow_Capacity
2.9 sec,107,Lotus,All Wheel Drive,238 Wh/km,940 km/h,E,Eletre R,"€150,990","€154,090","£120,000",450 km,5,260 km/h,
6.5 sec,76.5,Hongqi,All Wheel Drive,251 Wh/km,420 km/h,E,E-HS9 84 kWh,N/A,"€83,590",N/A,305 km,5,200 km/h,1500
6.9 sec,76.6,Audi,All Wheel Drive,199 Wh/km,490 km/h,C,Q4 e-tron 45 quattro,"€53,990","€61,175",N/A,385 km,5,180 km/h,1200
5.1 sec,87,Nissan,All Wheel Drive,226 Wh/km,460 km/h,C,Ariya e-4ORCE 87kWh Performance,N/A,"* €66,000","* £60,000",385 km,5,200 km/h,1500
8.5 sec,56,SsangYong,Front Wheel Drive,193 Wh/km,330 km/h,C,Korando e-Motion,"€40,490","€38,490",N/A,290 km,5,156 km/h,1500
7.0 sec,77,Skoda,All Wheel Drive,179 Wh/km,540 km/h,C,Enyaq Coupe iV 80x,"* €49,000",N/A,"* £52,000",430 km,5,160 km/h,1200
4.4 sec,91,Ford,All Wheel Drive,214 Wh/km,380 km/h,D,Mustang Mach-E GT,"€86,200","€83,990","£74,540",425 km,5,200 km/h,750
5.5 sec,74,Genesis,All Wheel Drive,195 Wh/km,990 km/h,C,GV60 Sport,"€56,370",N/A,"£53,605",380 km,5,200 km/h,1600
8.7 sec,45,DS,Front Wheel Drive,173 Wh/km,420 km/h,B,3 Crossback E-Tense,N/A,N/A,"£34,770",260 km,5,150 km/h,
7.9 sec,64,Kia,Front Wheel Drive,173 Wh/km,350 km/h,B,e-Soul 64 kWh,"€46,950","€42,695","£38,995",370 km,5,167 km/h,0
3.2 sec,83.7,Porsche,All Wheel Drive,202 Wh/km,1020 km/h,F,Taycan Turbo,"€156,348","€162,400","£119,900",415 km,4,260 km/h,
6.9 sec,70,Ford,Rear Wheel Drive,197 Wh/km,370 km/h,D,Mustang Mach-E SR RWD,"€62,900","€58,100","£50,830",355 km,5,180 km/h,750
4.0 sec,83.7,Porsche,All Wheel Drive,182 Wh/km,1130 km/h,F,Taycan 4S Plus,"€114,389","€120,031","£90,406",460 km,4,250 km/h,
6.4 sec,89,Mercedes,Rear Wheel Drive,173 Wh/km,650 km/h,E,EQE 350,"€70,210","€83,238","£77,345",515 km,5,210 km/h,750
8.8 sec,58,Skoda,Rear Wheel Drive,173 Wh/km,450 km/h,C,Enyaq Coupe iV 60,"* €42,000","€51,690","* £40,000",335 km,5,160 km/h,1000
3.5 sec,90.6,Mercedes,All Wheel Drive,213 Wh/km,630 km/h,E,EQE SUV AMG 53 4MATIC+,"* €135,000","* €135,000","* £120,000",425 km,5,240 km/h,1800
14.3 sec,68,Peugeot,Front Wheel Drive,257 Wh/km,290 km/h,N,e-Expert Combi Standard 75 kWh,"€57,940","€57,367",N/A,265 km,9,130 km/h,1000
11.9 sec,16.7,Smart,Rear Wheel Drive,176 Wh/km,-,A,EQ fortwo cabrio,"€25,200","€27,910","£24,645",95 km,2,130 km/h,
13.1 sec,68,Toyota,Front Wheel Drive,262 Wh/km,280 km/h,N,PROACE Verso L 75 kWh,"€65,385","€77,395",N/A,260 km,8,130 km/h,1000
